day,Num,YoY
2020/1/22,28,
2020/1/23,30,7.142857143
2020/1/24,36,20
2020/1/25,39,8.333333333
2020/1/26,52,33.33333333
2020/1/27,61,17.30769231
2020/1/28,107,75.40983607
2020/1/29,126,17.75700935
2020/1/30,143,13.49206349
2020/1/31,222,55.24475524
2020/2/1,284,27.92792793
2020/2/2,472,66.1971831
2020/2/3,623,31.99152542
2020/2/4,852,36.7576244
2020/2/5,1124,31.92488263
2020/2/6,1487,32.29537367
2020/2/7,2011,35.23873571
2020/2/8,2616,30.08453506
2020/2/9,3244,24.00611621
2020/2/10,3946,21.63995068
2020/2/11,4683,18.67714141
2020/2/12,5150,9.972240017
2020/2/13,6295,22.23300971
2020/2/14,8058,28.00635425
2020/2/15,9395,16.5922065
2020/2/16,10865,15.64662054
2020/2/17,12583,15.81224114
2020/2/18,14352,14.05865056
2020/2/19,16121,12.32580825
2020/2/20,18177,12.75355127
2020/2/21,18890,3.922539473
2020/2/22,22886,21.15404976
2020/2/23,23394,2.219697632
2020/2/24,25227,7.835342395
2020/2/25,27905,10.61561026
2020/2/26,30384,8.883712596
2020/2/27,33277,9.521458662
2020/2/28,36711,10.31943985
2020/2/29,39782,8.365340089
2020/3/1,42716,7.375194812
2020/3/2,45602,6.756250585
2020/3/3,48228,5.758519363
2020/3/4,51170,6.100190761
2020/3/5,53796,5.13191323
2020/3/6,55865,3.846010856
2020/3/7,58358,4.462543632
2020/3/8,60694,4.002878783
2020/3/9,62494,2.965696774
2020/3/10,64404,3.056293404
2020/3/11,67003,4.035463636
2020/3/12,68324,1.971553513
2020/3/13,70251,2.820385223
2020/3/14,72624,3.377887859
2020/3/15,76034,4.695417493
2020/3/16,78088,2.701423048
2020/3/17,80840,3.524229075
2020/3/18,83207,2.928005938
2020/3/19,84854,1.979400772
2020/3/20,87256,2.830744573
2020/3/21,91499,4.862702851
2020/3/22,97704,6.78149488
2020/3/23,98334,0.644804716
